传感器型号,LVDT,版本日期,2020/4/7,版本号,V1.0.0
,,,,,
序号,功能码(Hex),消息ID(Hex),描述,数据(Hex),数据含义
1,04,0002,温度高16位,d1<128,(d1*256+d0)/10\(d1*256+d0-65536)/10
2,04,0003,温度低16位,,
3,04,0004,位移高16位,d3<128,(d3*256+d2)+(d1*256+d0)/1000\(32768-d3*256-d2)-(d1*256+d0)/1000
4,04,0005,位移低16位,,
5,03/10,0030,传感器地址,,
6,03/10,0031,波特率,,
7,03/10,0032,奇偶校验,,
8,03/10,0034,补偿开关,,
9,03/10,003F,位移和温度采样频率,,
10,03/10,0060,输出模式,,
11,05,0050,逻辑清零/取消清零,,
12,05,0051,数据备份/恢复出厂设置,,
13,25,0040,系统升级标志,,
14,25,0088,位移标定清除/失能/使能,,
15,25,0089,设定位移零点/满量程,,
16,25,009A,温度标定/清零,,
17,25,009B,设定温度零点/满量程,,
18,25,00CD,补偿标定/清除,,
19,26/27,0080,位移量程高16位,,
20,26/27,0081,位移量程低16位,,
21,26/27,0082,位移物理零点高16位,,
22,26/27,0083,位移物理零点低16位,,
23,26/27,0084,位移满量程高16位,,
24,26/27,0085,位移满量程低16位,,
25,26/27,0086,位移逻辑零点高16位,,
26,26/27,0087,位移逻辑零点低16位,,
27,26/27,0090,温度K值高16位,,
28,26/27,0091,温度K值低16位,,
29,26/27,0092,温度B值高16位,,
30,26/27,0093,温度B值低16位,,
31,26/27,0094,温度量程高16位,,
32,26/27,0095,温度量程低16位,,
33,26/27,0096,温度物理零点高16位,,
34,26/27,0097,温度物理零点低16位,,
35,26/27,0098,温度满量程高16位,,
36,26/27,0099,温度满量程低16位,,
37,26/27,00A0,线性补偿采样点数,,
38,26/27,00A1,线性补偿第1个采样点,,
39,26/27,00A2,线性补偿第2个采样点,,
40,26/27,00A3,线性补偿第3个采样点,,
41,26/27,00A4,线性补偿第4个采样点,,
42,26/27,00A5,线性补偿第5个采样点,,
43,26/27,00A6,线性补偿第6个采样点,,
44,26/27,00A7,线性补偿第7个采样点,,
45,26/27,00A8,线性补偿第8个采样点,,
46,26/27,00A9,线性补偿第9个采样点,,
47,26/27,00AA,线性补偿第10个采样点,,
48,26/27,00AB,线性补偿第11个采样点,,
49,26/27,00AC,线性补偿第12个采样点,,
50,26/27,00AD,线性补偿第13个采样点,,
51,26/27,00AE,线性补偿第14个采样点,,
52,26/27,00AF,线性补偿第15个采样点,,
53,26/27,00B0,线性补偿第16个采样点,,
54,26/27,00B1,线性补偿第17个采样点,,
55,26/27,00B2,线性补偿第18个采样点,,
56,26/27,00B3,线性补偿第19个采样点,,
57,26/27,00B4,线性补偿第20个采样点,,
58,26/27,00B5,线性补偿第21个采样点,,
59,26/27,00B6,线性补偿第22个采样点,,
60,26/27,00B7,线性补偿第23个采样点,,
61,26/27,00B8,线性补偿第24个采样点,,
62,26/27,00B9,线性补偿第25个采样点,,
63,26/27,00BA,线性补偿第26个采样点,,
64,26/27,00BB,线性补偿第27个采样点,,
65,26/27,00BC,线性补偿第28个采样点,,
66,26/27,00BD,线性补偿第29个采样点,,
67,26/27,00BE,线性补偿第30个采样点,,
68,26/27,00BF,线性补偿第31个采样点,,
69,26/27,00C0,A0低16位,,
70,26/27,00C1,A0高16位,,
71,26/27,00C2,A1低16位,,
72,26/27,00C3,A1高16位,,
73,26/27,00C4,A2低16位,,
74,26/27,00C5,A2高16位,,
75,26/27,00C6,A3低16位,,
76,26/27,00C7,A3高16位,,
77,26/27,00C8,A4低16位,,
78,26/27,00C9,A4高16位,,
79,26/27,00CA,A5低16位,,
80,26/27,00CB,A5高16位,,
81,26/27,00CC,多项式拟合维数,,
82,26/27,00F0,内测数据位移数字量,,
83,26/27,00F1,内测数据位移电压值,,
84,26/27,00F2,内测数据温度数字量,,
85,26/27,00F3,内测数据温度电压值,,
86,26/27,00F4,内测数据DAC数字量,,
87,26/27,00F5,内测数据DAC电压值,,
88,2B/2A,00E0,738830676,,
89,2B/2A,00E1,产品代码,,
90,2B/2A,00E2,硬件版本,,
91,2B/2A,00E3,软件版本,,
92,2B/2A,00E4,设备ID,,
93,2B/2A,00E5,客户代码,,
94,41,0001,开始升级,,
95,41,0002,清除源程序,,
96,41,0003,传输文件包,,
97,41,0004,执行新程序,,
